Project,Task,Crew,Start Date,Duration,End Date,Day Completed,Completion PCT,
Rival,Install Loring ,All,2/16/24,6,2/23/24,6,100.00%,
Lacas,???,Big Joe,2/17/24,1,2/19/24,1,100.00%,
Rival,GB system - fabricate bins week 1,All,3/18/24,5,3/22/24,5,100.00%,
Rival,GB system - fabricate bins week 2,All,4/1/24,5,4/5/24,0,0.00%,
Rival,GB system - fabricate bins week 3,All,4/8/24,5,4/12/24,0,0.00%,
Rival,GB system - fabricate bins week 4,All,4/15/24,5,4/19/24,0,0.00%,
Rival,GB system - fabricate bins week 5,All,4/22/24,5,4/26/24,0,0.00%,
White,Emergency Service Roaster 1,Big Joe,2/27/24,3,2/29/24,3,100.00%,
Stack Street,Spec out and order all material for K cup + Nitrogen System,Sebastian,2/28/24,2,2/29/24,1,50.00%,need to order hopper
Deathwish,Sales Call with Colonial,Sebastian,2/29/24,1,2/29/24,0,0.00%,
Stack Street,Install Thermocouples on Roaster 1,Big Joe,3/1/24,1,3/1/24,1,100.00%,
Coffee Holding,Design Supersac frame,Sebastian,3/4/24,3,4/1/24,2,66.67%,
Rival,Electric install for Loring,All,3/4/24,5,3/14/24,0,0.00%,
Joffreys,Engineering,Sebastian,3/5/24,2,3/6/24,0,0.00%,
White,Roaster 2 Rebuild,Big Joe,3/5/24,5,3/10/24,4,80.00%,
Coffee Holding,Order Steel for Frame,JRD,3/7/24,1,3/7/24,1,100.00%,
White,"Roaster 2 - mount Journal Rings, Bearings, Ring gear",Big Joe,3/7/24,2,3/8/24,2,100.00%,
White,Roaster 2 - Reassemble Roaster Body and fit front and back discs,Big Joe,3/7/24,2,3/8/24,2,100.00%,
White,Green Bean Mixer - adjust bearings,Big Joe,3/7/24,1,3/8/24,1,100.00%,
Rival,GB System - Locate Frame,All,3/11/24,5,3/15/24,5,100.00%,
Stack Street,Compressed Air Install,"Jim Palmer, Alder, Lucas",3/24/24,1,4/7/24,,0.00%,
Stack Street,Nitrogen System,"Jim Palmer, Alder, Lucas",3/24/24,1,4/7/24,0,0.00%,
Tierra Farm,Remove Cyclinder and prep for shipment,"Jim Palmer, Alder, Lucas",4/13/24,1,4/14/24,0,0.00%,
Coffee Holding,Install Green Bean Support Frame + Feed System,Big Joe,4/4/24,4,4/7/24,0,0.00%,
Coffee Holding,Chainvey to feed ICA + TME,JRD,4/4/24,5,4/7/24,0,0.00%,
Coffee Holding,Install Green Bean Support Frame + Feed System,Adam,4/12/24,2,4/14/24,0,0.00%,
Rival,Ship Chainvey,All,4/6/24,3,4/9/24,3,100.00%,
Rival,Install Air Compressor,All,4/22/24,1,4/23/24,0,0.00%,
Stack Street,Site Visit,Sebastian,4/8/24,1,4/9/24,0,0.00%,
Cadillac,Ship Roaster to Shop,Sub,4/9/24,4,4/12/24,0,0.00%,
Cadillac,Recieve Cadillac Roaster,Sebastian,4/9/24,1,4/10/24,0,0.00%,
Rival,GB system - Recieve Chainvey,All,4/18/24,1,4/19/24,0,0.00%,
Stack Street,Ship Roaster,JRD,4/14/24,2,4/15/24,0,0.00%,
Rival,Ship Mixer,All,4/15/24,1,4/16/24,0,0.00%,
Rival,Cut roof penetrations for Loring / SF,All,4/22/24,5,4/26/24,0,0.00%,need to order additional piping 
